name ,main_category ,deadline ,goal ,launched ,pledged ,state ,backers ,country ,usd pledged 
"""Where is Home?"" Anthology",Comics,10/07/2014 00:09,4000,10/06/2014 00:09,4944.5,successful,153,CA,4523.365612
"Diet! No thanks, I'd rather lose weight",Publishing,30/10/2016 17:13,10000,31/08/2016 18:13,88,failed,9,DE,22.3488658
The Onrust Project and Two Row Treaty of 1613,Theater,16/06/2013 00:58,5000,17/04/2013 00:58,110,failed,2,US,110
My Coffee Box,Food,16/06/2014 22:43,3000,17/05/2014 22:43,1027,failed,18,US,1027
øTu Sabes? (You Know?) a music collaboration by Daya & Edu,Music,13/12/2012 00:12,4500,30/10/2012 08:53,409,failed,10,US,409
P/O/V Comic and Literary Anthology,Comics,06/03/2012 18:25,4289,21/01/2012 18:25,474,failed,14,US,474
"""Little Shop of Horrors"" at the Browncoat Theatre!",Theater,14/08/2012 20:05,2000,30/06/2012 20:05,2075,successful,40,US,2075
Glyscian Debut Album Recording (Canceled),Music,26/05/2012 04:25,15000,27/03/2012 04:25,151,canceled,4,US,151
The Dark Waters Project,Music,07/04/2013 05:55,10000,20/02/2013 01:48,10414,successful,113,US,10414
Los Angeles International Student Film Festival,Film & Video,03/04/2014 17:24,1500,04/03/2014 17:24,1932.99,successful,29,US,1932.99
Bob Contemplates Ending It All,Film & Video,27/01/2014 02:00,3000,18/12/2013 20:54,3755,successful,52,US,3755
The Girls Bathroom,Film & Video,31/07/2011 06:00,2000,06/07/2011 16:35,2252.99,successful,45,US,2252.99
Best Spray Bottle Ever - SureShot,Technology,07/03/2015 16:57,25000,05/02/2015 16:57,3,failed,3,CA,2.41110072
New Lasagna,Food,17/10/2014 11:13,5000,18/08/2014 11:13,0,failed,0,US,0
Just Another Reality Show: Season 3,Film & Video,11/05/2014 23:04,500,10/04/2014 23:04,756,successful,8,US,756
Backroads EP Processing Costs,Music,26/10/2012 23:00,200,11/10/2012 23:32,274.05,successful,14,US,274.05
Disaster Area: A Podcast,Publishing,28/12/2016 17:58,1000,28/11/2016 17:58,125,live,3,US,0
Titanium EDC Bottle Opener,Design,20/11/2016 16:23,500,21/10/2016 16:23,156,failed,4,US,1
Fishtacular - The Ultimate Fishing Tool (Canceled),Technology,25/05/2015 20:04,50000,23/04/2015 20:04,11336,canceled,19,CA,9240.736853
"""Eat Like A Gilmore"" Cookbook",Food,17/04/2016 04:00,20000,14/03/2016 12:39,47273,successful,1261,US,47273
PATTY AT THE PARTY - a mumblecore horror feature,Film & Video,04/07/2010 21:12,5000,29/04/2010 07:14,50,failed,3,US,50
Bold Threadz,Fashion,20/09/2012 21:59,5400,02/08/2012 04:47,5858,successful,131,US,5858
Happy Fix USA,Fashion,01/10/2014 17:06,1750,17/08/2014 17:06,1805,successful,25,US,1805
Be part of the next SMB Project album,Music,24/03/2012 02:00,1000,12/02/2012 17:33,1455,successful,41,US,1455
DAYTRADER - A Financial Board Game,Games,13/03/2013 15:16,19500,05/02/2013 16:16,20269,successful,491,US,20269
Mama's Meatballs,Food,07/08/2014 18:52,100,08/07/2014 18:52,0,failed,0,US,0
"Ebony Child:Music Artist drops New Album, Comic Book, & Film",Music,21/05/2016 01:46,10000,21/04/2016 01:46,10,failed,1,US,10
Alpha Omega E.P.,Music,30/09/2016 22:34,1000,05/09/2016 22:34,472,failed,13,US,0
The Legendary YD 2016 Tour,Music,18/05/2016 19:48,6325,19/03/2016 21:51,10,failed,2,US,10
MEMORY LANE  ,Film & Video,08/11/2010 22:48,20000,09/10/2010 22:48,270,failed,4,US,270
"Jane Brown... a story of courage, survival and love",Publishing,31/12/2011 00:01,25000,31/10/2011 23:01,0,failed,0,US,0
CASE:Lynk - Your EMERGENCY iPhone Charge & Sync Cord,Design,11/10/2012 06:59,125000,06/09/2012 06:59,3012,failed,67,US,3012
Cat - Pre-Professional Ballerina,Dance,06/10/2014 13:24,3400,07/08/2014 13:24,0,failed,0,US,0
Wordwright: re∑de∑fin∑ing word play,Games,29/12/2015 02:00,2000,21/11/2015 14:12,14794,successful,624,US,14794
SERiNO'S PiZZA ROLLiNG PiZZA LAB (Food Truck),Food,30/09/2014 23:39,20000,01/09/2014 23:39,0,failed,0,US,0
A photobook of life in Japan,Photography,14/03/2013 02:11,3200,12/02/2013 03:11,568,failed,11,US,568
Operation: Make Stuff,Games,18/10/2012 04:46,200,18/09/2012 04:46,306.72,successful,36,US,306.72
Xi3: Help us Usher in the Post-PC Era,Technology,28/10/2012 08:33,250000,28/09/2012 09:33,90771,failed,120,US,90771
help our wood shop buy a lathe & hopefully a laser engraver,Art,13/11/2014 21:50,650,24/10/2014 21:50,0,failed,0,US,0
Spirits Asunder,Film & Video,31/03/2015 05:52,500,01/03/2015 05:52,5,failed,1,GB,7.71822905
Store Facades - Paintings out of Pittsburgh,Art,30/03/2013 02:02,800,28/02/2013 03:02,1062.57,successful,20,US,1062.57
Trackside - Independent documentary featuring Marshals,Film & Video,02/03/2014 22:00,5000,24/01/2014 12:49,5037,successful,47,GB,8345.981293
"Brandi Emma promotes her new, 5-song EP because of YOU!  Pre-Order Right Here :)",Music,12/07/2010 08:59,10000,12/06/2010 01:44,4006,failed,44,US,4006
Gantish - Online Reward Chart Creator for Parents,Technology,16/09/2015 15:37,4000,17/08/2015 15:37,282,failed,12,IE,313.3002629
URBNPOP / CHRIS HAMER SKETCHBOOK,Publishing,18/07/2012 16:58,1400,18/06/2012 16:58,2535,successful,49,US,2535
Sellegg start up classified site,Technology,20/03/2016 19:26,15000,02/03/2016 02:13,25,failed,1,US,25
Farmer Brown's Analogy Farm Game for ages three and above,Games,30/10/2013 02:32,25000,27/09/2013 03:32,65,failed,3,US,65
The Seven Rays,Music,09/04/2012 02:52,3000,24/02/2012 02:52,260,failed,8,US,260
David LaRocca: Star Spawn,Art,22/10/2015 04:30,650,21/09/2015 14:44,2354.5,successful,53,US,2354.5
Calendars for Cats,Photography,29/12/2015 14:56,1000,29/11/2015 14:56,95,failed,3,US,95
DOGMA - Short Film,Film & Video,20/03/2015 01:00,750,06/03/2015 15:13,756,successful,15,GB,1153.311037
Project U-Neek,Art,08/05/2013 01:06,1500,08/04/2013 01:06,1515.5,successful,19,GB,2320.2691
Architecture & Design Website,Design,28/09/2014 19:47,500,29/08/2014 19:47,0,failed,0,GB,0
#NotMyPresident Protest Tees,Fashion,22/12/2016 04:46,2500,22/11/2016 04:46,25,live,1,US,30
Musical Light Suit,Technology,28/06/2011 09:09,6000,19/05/2011 09:09,20,failed,2,US,20
YA science-fiction/comedy book series: Zeek Kim'lo,Publishing,16/06/2016 01:05,10000,17/05/2016 01:05,1,failed,1,GB,1.4360512
Rising Star - Unsigned Artist Compilation Album,Music,22/02/2013 22:32,600,08/01/2013 22:32,0,failed,0,GB,0
HYDRA DICE,Games,06/06/2012 07:42,12000,07/05/2012 07:42,3100.66,failed,89,US,3100.66
Islamic World - Strategic gaming with Islamic values,Games,19/08/2014 12:52,1925,20/07/2014 12:52,293,failed,5,GB,500.633908
Hangar 1 Foundation,Technology,18/10/2014 19:40,8500,03/09/2014 19:40,1355,failed,4,US,1355
Adele's Heart is Going to Edinburgh,Theater,18/06/2012 14:33,7500,14/05/2012 14:33,8315,successful,67,US,8315
ODIN: Android 'Smart' Projector to Carry in Your Pocket,Technology,08/07/2014 05:59,250000,28/05/2014 13:54,268192,successful,561,US,268192
Jenny's Photography - Start own business and travel!!,Photography,29/08/2014 18:14,500,30/07/2014 18:14,10,failed,1,GB,16.9818498
Kaleidoscope Man,Film & Video,22/12/2012 03:59,60000,15/11/2012 22:46,5487,failed,90,GB,8715.624765
OperaciÛn Douve,Film & Video,01/05/2016 19:09,100,02/03/2016 19:09,20,failed,2,ES,21.7678072
42 Sketches 2013,Publishing,07/04/2013 22:16,1000,18/03/2013 21:16,2883.5,successful,78,US,2883.5
"ADVENT SAGA, DIGITAL TACTICAL CARD GAME",Games,31/07/2014 16:01,70000,01/07/2014 16:01,15542.11,failed,260,US,15542.11
"Crap Amidst Hilarity, vol. 1",Games,22/03/2016 00:36,7500,22/01/2016 01:36,942.25,failed,55,US,942.25
"Packable, Fashionable & Protective; the ULTIMATE sun hat.",Fashion,07/06/2014 01:00,36000,01/05/2014 17:36,91003.67,successful,750,US,91003.67
VoxCube - 8x8x8 RGB LED chainable cubes,Technology,01/04/2016 00:15,129000,02/03/2016 00:15,11601.5,failed,32,AU,8267.41638
New world disorder,Music,05/07/2016 01:46,5000,05/06/2016 18:46,0,failed,0,US,0
"""GENERATION FX"" a documentary film.",Film & Video,09/12/2012 04:57,100000,10/10/2012 04:57,8085,failed,37,US,8085
"Rack and Ruin, Out of Orbit 3",Publishing,17/06/2015 21:52,2500,18/05/2015 21:52,1315,failed,29,GB,2068.065297
Help me prepare for an upcoming art show,Art,24/04/2016 21:25,1200,10/03/2016 21:25,2,failed,2,US,2
STREETFIGHTERZ WHEELIE MURICA,Film & Video,20/09/2014 06:59,6500,06/08/2014 21:28,555,undefined,0,"N,""0",
The Forever Rechargeable Talking Super Capacitor Flashlight,Technology,23/10/2013 23:36,2000,23/09/2013 23:36,656,failed,18,CA,636.7775928
COVENANT,Music,07/12/2014 18:02,32000,07/11/2014 18:02,4670,failed,42,US,4670
Elephant Gun Media Blitzkrieg,Music,04/11/2011 06:00,777,20/10/2011 23:51,923,successful,36,US,923
Our Shared Stories: An Afghan Diary,Publishing,20/08/2016 16:22,7500,06/07/2016 16:22,9500,successful,86,US,880
The Gentle Art Of Tutelage,Film & Video,20/03/2013 18:38,50000,19/01/2013 18:38,2161,failed,26,US,2161
"Air Bonsai | Create your ""little star""",Design,01/03/2016 12:18,80000,21/01/2016 12:18,843743,successful,3784,US,843743
"Canadian Invasion's ""Choose Your Own Adventure"" Album",Music,20/12/2010 05:59,2000,26/10/2010 01:17,2036,successful,38,US,2036
Wrist Covers,Design,24/04/2015 19:39,9500,23/02/2015 19:39,0,failed,0,US,0
High Stakes: A Short Film,Film & Video,03/11/2013 21:55,5000,09/10/2013 21:55,5120,successful,81,US,5120
Fomatek: Foam Laptop Desks & Music Stands Elevate your Gear.,Design,26/09/2015 22:02,10000,27/08/2015 22:02,805,failed,10,US,805
100 Risings,Film & Video,10/07/2014 10:36,500,10/06/2014 10:36,10,failed,1,GB,16.8060166
Sky Scrapers Project,Games,16/06/2015 21:44,50000,17/05/2015 21:44,1825,failed,32,US,1825
Keys to the Moon's First Full Length Album!,Music,01/10/2016 05:59,4000,01/09/2016 15:32,4629,successful,37,US,15
Strait Jacket ñ Tangle Prevention For Headphones,Design,23/11/2016 03:35,30000,24/10/2016 03:35,1041,canceled,46,US,549
Worrisome Wilf's Beastly Bedtime,Publishing,12/06/2013 13:59,5500,13/05/2013 13:59,5721,successful,140,GB,8787.829467
"Airfoil Click Pen: Aviation Inspired, for gel & rollerball",Design,05/10/2014 08:00,5000,09/09/2014 20:17,26407,successful,327,US,26407
"VLC for the new Windows 8 User Experience (""Metro"")",Technology,29/12/2012 13:54,40000,29/11/2012 13:54,47056.86,successful,3080,GB,75365.13526
Raise funds for the new JonathanGluck and the Wayward Kind album!,Music,19/09/2010 05:59,4000,30/07/2010 23:23,30,failed,2,US,30
The Spider and the Fly,Publishing,09/07/2014 09:10,19650,09/06/2014 09:10,20313,successful,164,US,20313
Knock Down Drag Out,Film & Video,10/01/2012 05:59,800,09/12/2011 00:23,850,successful,19,US,850
Day of the Dead Tyrion Lannister Calavera Vinyl Stickers,Art,17/01/2015 04:12,275,03/01/2015 04:12,642,successful,40,US,642
Harold VS The Horde,Games,18/01/2015 07:49,14000,19/12/2014 07:49,113,failed,18,US,113
Camille Peruto - NEW ALBUM,Music,06/07/2016 00:02,15000,07/05/2016 00:02,18009,successful,69,US,18009
APP - CUSTOM SHOES/ Calzado Personalizado - MADAME MARIAN,Technology,21/12/2016 06:59,55000,19/11/2016 04:05,1700,live,7,MX,2.450925
Tye's Photographic Journey.,Photography,12/12/2015 07:06,2500,12/11/2015 07:06,0,failed,0,US,0
The Sword of Asumi Visual Novel,Games,10/11/2014 11:30,2500,19/10/2014 20:35,3097,successful,107,GB,4983.778992
Wax Stacks LP Record Crates,Design,15/07/2015 17:55,35000,15/06/2015 17:55,39209,successful,120,US,39209
The JANIS JOPLIN Project (Canceled),Photography,21/08/2012 05:09,11000,10/07/2012 02:31,75,canceled,1,US,75
Strawberry Fields CafÈ and Patisserie,Food,23/01/2017 17:14,50000,01/12/2016 21:16,0,live,0,CA,0
Tofu: Stylish T-Shirts that are Made by Freedom,Fashion,10/08/2015 05:30,3000,22/07/2015 15:31,23079,successful,140,US,23079
American Confines vol 1: Cincinnati in 52,Photography,20/07/2016 05:59,17500,20/06/2016 08:10,656,failed,14,US,615
Good Company,Film & Video,27/02/2012 04:22,500,28/01/2012 04:22,5,failed,1,US,5
"Launch ""Romeo and Juliet in Yiddish"" in New York City",Film & Video,10/06/2011 22:17,5000,17/05/2011 22:17,0,failed,0,US,0
The Case of the Silent Girl - a dark Sherlock Holmes tale,Comics,18/07/2016 20:16,4450,18/06/2016 20:16,8503,successful,47,SE,409.5424954
Chasing Blue at The Trans Theatre Festival,Theater,01/06/2016 06:59,4000,29/04/2016 19:53,4813,successful,105,US,4813
Mooli London | Designer Camera & Tech Bag - The Hampton,Design,10/10/2015 00:59,15000,04/09/2015 16:33,15267,successful,85,GB,23358.14451
CLOTHING LABEL WITH A 90's STATE OF MIND - MADE IN FRANCE,Fashion,18/12/2016 18:51,3286,18/11/2016 18:51,2866,live,32,FR,427.944796
The Ultimate Custom Shark Rig,Design,24/04/2015 15:58,8000,25/03/2015 14:58,0,failed,0,US,0
Climbing 4 Kidz,Film & Video,08/05/2014 15:37,38875,09/04/2014 22:39,0,failed,0,CA,0
Tugboat Collective's Inaugural Season,Theater,11/10/2012 04:00,9000,12/09/2012 05:32,10046,successful,115,US,10046
Geocaching Trading Cards - History Series II,Games,03/03/2013 20:14,1500,01/02/2013 20:14,1620,successful,52,US,1620
The FUN n' EASY CookBook For Children's Well.....Fun Cooking,Publishing,09/12/2012 17:59,3500,07/11/2012 19:53,0,failed,0,US,0
Space Trucker,Games,08/12/2016 08:20,150,08/11/2016 08:20,60,live,4,US,25
High,Film & Video,02/07/2016 04:55,5250,02/06/2016 04:55,0,failed,0,US,0
Club Wick3d,Games,23/03/2015 21:28,300000,22/01/2015 22:28,1,failed,1,US,1
Modern Handmade Ceramics: Paper & Clay,Art,24/05/2013 04:48,3000,10/05/2013 04:48,4386,successful,94,US,4386
Join me in completing my first Solo Project CD!,Music,30/09/2011 22:05,2000,09/08/2011 23:19,170,failed,7,US,170
Ashley's Beauty Tool Organizer Kit,Crafts,30/08/2014 00:59,7000,06/08/2014 21:31,0,failed,0,US,0
Quick Query - Relaunch!,Games,18/08/2014 19:02,750,19/07/2014 19:02,1207,successful,56,US,1207
"Quick, The Clockwork Knight Volume #2",Comics,03/06/2014 07:59,2000,16/04/2014 05:25,2585,successful,105,US,2585
WrittenWitheArt,Publishing,05/03/2014 19:00,1500,04/02/2014 01:30,1500,successful,26,US,1500
"Uptown Juice Company: Local, cold-pressed goodness",Food,01/04/2014 08:59,25000,25/02/2014 00:15,30066,successful,161,US,30066
Objecthood: A Story of an Imagined Economy (Canceled),Publishing,12/08/2011 18:25,15000,22/07/2011 00:28,25,canceled,1,US,25
Strain Wars: Playing cards,Games,31/07/2016 11:18,5000,16/07/2016 11:18,176,failed,6,US,100
Wood Floor Fundraiser,Dance,16/08/2015 17:13,1200,11/08/2015 17:13,1205,successful,21,US,1205
Water Purification System Using Solar Evacuated Tube,Design,28/04/2016 23:36,150,08/04/2016 23:36,218,successful,15,US,218
Steel Cathedrals- Short poems for the digital age.,Publishing,28/07/2013 23:17,4000,28/06/2013 23:17,20,failed,1,GB,30.6621492
The Chameleon Chronicles: Colors of Fate,Publishing,23/12/2014 05:00,500,03/12/2014 04:26,1,failed,1,US,1
Once Were Ghosts - Ephemeral 7-Song EP,Music,14/06/2011 09:00,1000,15/04/2011 09:00,0,failed,0,US,0
Via ChicñOneClutchô,Design,14/08/2015 03:47,75000,30/06/2015 03:47,1736,failed,21,US,1736
Afraid So Galileo Album,Music,26/06/2016 11:39,5500,27/05/2016 11:39,0,failed,0,US,0
Paterson Falls Film Festival,Film & Video,03/05/2013 03:09,1500,03/04/2013 03:09,1612,successful,27,US,1612
Thailand country side,Photography,25/10/2014 21:23,17000,26/08/2014 21:23,35,failed,2,US,35
Equinox: my first comic (genre: fantasy),Comics,04/06/2011 21:36,5150,25/04/2011 21:36,5965.5,successful,97,US,5965.5
Student Operated Fabrication Lab,Technology,11/07/2012 13:55,5000,11/06/2012 13:55,5000,successful,57,US,5000
Nurse Mare Foals: Born to Die,Film & Video,06/01/2015 19:45,20000,07/12/2014 19:45,22421,successful,383,US,22421
The Bird Nerd,Film & Video,03/07/2014 16:00,400,03/06/2014 16:00,1065,successful,36,GB,1783.510312
Funky Grits - fast casual diner pairing music with the menu!,Food,01/10/2015 06:59,100000,03/09/2015 17:32,1600,failed,13,US,1600
The Great Kentucky Goblin Spree,Film & Video,21/03/2014 20:04,5500,19/02/2014 21:04,6614,successful,88,US,6614
Made From Scratch,Food,31/08/2015 18:33,25000,01/08/2015 18:33,0,failed,0,US,0
Pierced Hearts Tattoo Boutique Start Up,Art,13/05/2015 13:40,5000,14/03/2015 12:40,0,failed,0,US,0
Pole Diversity: A Showcase of Acrobatic Dance (Part Two),Dance,19/09/2015 02:00,450,19/08/2015 21:02,160,failed,4,US,160
A New Omni-Wheel. A mechanical innovation created for robots,Technology,24/06/2016 16:19,3500,25/05/2016 16:19,107,failed,7,US,107
BrewStick ~ carboy ruler,Food,24/03/2014 21:45,22500,22/02/2014 22:45,50,failed,2,US,50
Open Fiesta Arts Store dreaming big in San Antonio,Art,05/03/2016 00:50,5000,20/01/2016 00:50,52,failed,4,US,52
Opening Portals DVD,Film & Video,28/03/2014 09:27,2000,26/02/2014 10:27,0,failed,0,GB,0
Nutty Nations: Re-Imagining Learning Through Games,Games,01/12/2014 12:24,25000,24/10/2014 12:24,18431,canceled,71,US,18431
Night Terrors: Garden of Limbo,Publishing,05/01/2014 20:23,350,06/12/2013 20:23,1067,successful,14,US,1067
Inclusive Toolkit: tools for iOS & OS X app accessibility,Technology,13/06/2015 03:00,5500,13/05/2015 13:20,7157,successful,184,GB,11147.99241
Greek4Fun,Games,09/05/2012 15:07,12000,09/04/2012 15:07,686,failed,14,US,686
Hood's Up Brewery,Food,21/06/2015 05:00,28000,15/05/2015 20:39,12024,failed,62,US,12024
Fooju Dance Collaborative,Dance,21/12/2014 08:02,1500,21/11/2014 08:02,1900,successful,47,US,1900
